Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;26587,41;6029,708;21123,06;-25284,94;26587,41;6029,708
1;26481,7;26367,26;7213,116;-4988,701;26481,7;26367,26
2;26574,37;26405,6;2212,472;2860,738;26574,37;26405,6
3;26396,88;6033,417;3667,521;2162,271;26396,88;6033,417
4;26459,08;26391,36;2614,912;3321,712;26459,08;26391,36
5;26388,68;6069,334;2329,016;3983,661;26388,68;6069,334
6;26475,57;26393,12;2137,033;3701,033;26475,57;26393,12
7;26492,9;26404,28;2783,636;2653,269;26492,9;26404,28
8;26541,38;6065,533;4399,259;1325,188;26541,38;6065,533
9;27600,41;26404,55;1714,297;3606,751;27600,41;26404,55
10;27765,41;26574,86;-2435,35;6001,571;27765,41;26574,86
11;27889,17;27453,29;-10795,1;10530,27;27889,17;27453,29
12;27842,28;26595,47;-14848,8;14198,9;27842,28;26595,47
13;27906,45;27836,24;-21488,46;16938,92;27906,45;27836,24
14;22975,55;48763,28;-22328,58;19262,59;22975,55;48763,28
15;27827,73;28486,49;-15103,37;14049,1;27827,73;28486,49
16;27799,7;27936,01;-12584,75;12902,55;27799,7;27936,01
17;27492,43;27990,76;-19905,5;17008,54;27492,43;27990,76
18;27678,23;26577,74;-9112,555;8399,157;27678,23;26577,74
19;28051,66;26543,08;-12169,72;11910,95;28051,66;26543,08
20;27572,16;26519,73;-9895,26;7790,723;27572,16;26519,73
21;27502,22;26673,51;-15198,27;12176,88;27502,22;26673,51
22;27764,5;26657,73;-6878,563;7447,539;27764,5;26657,73
23;27675,07;27159,12;-1311,623;3774,329;27675,07;27159,12
24;28272,8;27381,77;-29,65267;2475,707;28272,8;27381,77
25;27932,45;26545,04;1482,869;1205,963;27932,45;26545,04
26;28252,77;26677,65;4297,35;-1385,206;28252,77;26677,65
27;28703,98;26764,52;-2189,086;2836,059;28703,98;26764,52
28;27454,36;26786,72;-19432,38;17829,97;27454,36;26786,72
29;26399,15;27054,25;-24953,79;20750,17;26399,15;27054,25
30;26436,05;26737,6;-4121,393;5138,559;26436,05;26737,6
31;26449,27;26502,86;3943,768;118,972;26449,27;26502,86
32;26446,74;26382,74;3336,496;259,3512;26446,74;26382,74
33;26606,06;26517,04;4503,437;-367,6059;26606,06;26517,04
34;26401,01;26765,56;2236,49;-1137,195;26401,01;26765,56
35;26400,76;26598,58;3206,002;175,644;26400,76;26598,58
36;26491,6;28320,8;-4085,574;5069,585;26491,6;28320,8
37;27480,19;26799,47;-3475,606;4030,423;27480,19;26799,47
38;27117,24;26790,29;-7682,003;9756,815;27117,24;26790,29
39;27583,09;26806,01;-14634,47;15579,03;27583,09;26806,01
40;27945,23;48574,14;-6018,581;8751,213;27945,23;48574,14
41;27928,27;27672,57;-2320,051;5847,766;27928,27;27672,57
42;28352,21;48644,14;-4847,017;9261,237;28352,21;48644,14
43;28355,11;48706,96;-2832,204;6289,848;28355,11;48706,96
44;27784,47;27412,85;-262,7239;4650,973;27784,47;27412,85
45;28396,14;49967,11;-11077,18;13379,03;28396,14;49967,11
46;27750,24;48739,16;-10923,2;13264,86;27750,24;48739,16
47;27716,01;48608,95;-8818,227;10107,96;27716,01;48608,95
48;27943,53;48688;-11035,44;11269,27;27943,53;48688
49;28443,51;27861,92;-3723,223;5769,746;28443,51;27861,92
50;27652,02;48547,75;-19989,01;17405,76;27652,02;48547,75
51;28464,73;48811,75;1967,535;24,8732;28464,73;48811,75
52;27700,39;48714,1;-7269,026;9808,055;27700,39;48714,1
53;27536,95;48782,4;-11526,54;12976,17;27536,95;48782,4
54;26579,15;29007,32;-7014,981;7705,818;26579,15;29007,32
55;26625,66;26649,03;-1696,361;1640,915;26625,66;26649,03
