Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0.00;116611.60;0;-23287.36;0;116611.6;0
1.00;126454.3;0;50262.38;0;126454.3;0
2.00;136558.8;0;58709.99;0;136558.8;0
3.00;146770.3;0;65116.11;0;146770.3;0
4.00;146770.3;0;50711.66;0;146770.3;0
5.00;156770.5;0;68981.6;0;156770.5;0
6.00;156243.5;0;63522.35;0;156770.5;0
7.00;146717.6;0;63671.21;0;156770.5;0
8.00;161770.7;0;88177.52;0;161770.7;0
9.00;146717.4;0;68009.2;0;161770.7;0
10.00;141698.2;0;82704.57;0;161770.7;0
11.00;146717.5;0;65914.88;0;161770.7;0
12.00;161770.70;0;73573.59;0;161770.7;0
13.00;146717.5;0;79270.22;0;161770.7;0
14.00;146717.50;0;85542.82;0;161770.7;0
15.00;131294.1;0;74890.02;0;161770.7;0
16.00;161770.7;0;57068.54;0;161770.7;0
17.00;146717.5;0;91955.16;0;161770.7;0
18.00;146717.3;0;86763.77;0;161770.7;0
19.00;146717.5;0;75946.72;0;161770.7;0
20.00;156770.9;0;81890.44;0;161770.7;0
21.00;161770.8;0;68314.77;0;161770.8;0
22.00;146717.5;0;67216.45;0;161770.8;0
23.00;151665.3;0;71173.18;0;161770.8;0
24.00;161770.8;0;76712.07;0;161770.8;0
25.00;131609.8;0;77076.17;0;161770.8;0
26.00;146717.5;0;88382.18;0;161770.8;0
27.00;161770.7;0;79954.56;0;161770.8;0
28.00;161770.7;0;72384.77;0;161770.8;0
29.00;146717.5;0;67330.76;0;161770.8;0
30.00;151686.1;0;80885.47;0;161770.8;0
31.00;161770.7;0;98262.16;0;161770.8;0
32.00;161770.7;0;74496.53;0;161770.8;0
33.00;151717.9;0;88205.95;0;161770.8;0
34.00;146717.5;0;84937.95;0;161770.8;0
35.00;171612.3;0;85937.19;0;171612.3;0
36.00;166559.9;0;70679.59;0;171612.3;0
37.00;161456.4;0;84167.9;0;171612.3;0
38.00;146563.4;0;66774.02;0;171612.3;0
39.00;186611.8;0;70629.7;0;186611.8;0
40.00;186611.7;0;71433.05;0;186611.8;0
41.00;146508.7;0;78991.16;0;186611.8;0
42.00;146508.8;0;56079.01;0;186611.8;0
43.00;151719.8;0;80048.65;0;186611.8;0
44.00;186611.8;0;85427.98;0;186611.8;0
45.00;151667.1;0;66882.59;0;186611.8;0
46.00;146667.4;0;73623.52;0;186611.8;0
47.00;186611.8;0;78117.95;0;186611.8;0
48.00;186611.8;0;74519.8;0;186611.8;0
49.00;146508.7;0;72332.5;0;186611.8;0
50.00;156509.9;0;75705.47;0;186611.8;0
51.00;181612.3;0;82309.32;0;186611.8;0
52.00;186611.8;0;78555.93;0;186611.8;0
53.00;146508.7;0;71715.28;0;186611.8;0
54.00;146508.7;0;73611.27;0;186611.8;0
55.00;156769.6;0;73698.48;0;186611.8;0
56.00;181612.1;0;85305.66;0;186611.8;0
57.00;146508.6;0;79850.06;0;186611.8;0
58.00;146509.8;0;81719.34;0;186611.8;0
59.00;156768.8;0;73367.17;0;186611.8;0
60.00;186611.7;0;69726.47;0;186611.8;0
61.00;146508.7;0;66779.9;0;186611.8;0
62.00;156508.8;0;71269.03;0;186611.8;0
63.00;156506.9;0;83870.26;0;186611.8;0
64.00;186611.8;0;76642.34;0;186611.8;0
65.00;146770.4;0;81187.91;0;186611.8;0
66.00;151404.6;0;92244.18;0;186611.8;0
67.00;186611.8;0;93599.47;0;186611.8;0
68.00;186611.8;0;80539.23;0;186611.8;0
69.00;146508.7;0;74130.64;0;186611.8;0
70.00;146508.9;0;83551.38;0;186611.8;0
71.00;186611.7;0;75271.55;0;186611.8;0
72.00;186611.9;0;81502.7;0;186611.9;0
73.00;156456.8;0;76089.09;0;186611.9;0
74.00;156456.7;0;81718.51;0;186611.9;0
75.00;151774.3;0;64577.43;0;186611.9;0
76.00;186611.8;0;80963.62;0;186611.9;0
77.00;146508.7;0;58468.37;0;186611.9;0
78.00;146508.8;0;68955.16;0;186611.9;0
79.00;146508.7;0;81005.85;0;186611.9;0
80.00;186611.7;0;84786.75;0;186611.9;0
81.00;146508.7;0;76922.71;0;186611.9;0
82.00;146666.8;0;81050.04;0;186611.9;0
83.00;156769.5;0;79310.11;0;186611.9;0
84.00;186611.8;0;88305.13;0;186611.9;0
85.00;146666.1;0;75942.11;0;186611.9;0
86.00;146508.8;0;89870.79;0;186611.9;0
87.00;186611.8;0;80462.66;0;186611.9;0
88.00;186611.8;0;76552.86;0;186611.9;0
89.00;146508.7;0;71152.96;0;186611.9;0
90.00;151509.5;0;75410.66;0;186611.9;0
91.00;186611.8;0;75871.44;0;186611.9;0
92.00;186611.9;0;86619.34;0;186611.9;0
93.00;161520.2;0;70406.09;0;186611.9;0
94.00;146508.8;0;68310.38;0;186611.9;0
95.00;146508.8;0;62472.36;0;186611.9;0
96.00;186611.8;0;74352.2;0;186611.9;0
97.00;146508.7;0;69290.57;0;186611.9;0
98.00;151406.7;0;78012.07;0;186611.9;0
99.00;146524.2;0;63086.29;0;186611.9;0
100.00;186611.7;0;78168.01;0;186611.9;0
101.00;146508.8;0;74716.28;0;186611.9;0
102.00;146671.7;0;80455.48;0;186611.9;0
103.00;146508.7;0;70136.53;0;186611.9;0
104.00;186611.8;0;84921.8;0;186611.9;0
105.00;146509;0;79440.3;0;186611.9;0
106.00;151666.8;0;66989.91;0;186611.9;0
107.00;186611.8;0;84321.75;0;186611.9;0
108.00;186611.8;0;75201.66;0;186611.9;0
