Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,116611.6,0,-23287.36,0,116611.6,0
1,126454.3,0,50262.38,0,126454.3,0
2,136558.8,0,58709.99,0,136558.8,0
3,146770.3,0,65116.11,0,146770.3,0
4,146770.3,0,50711.66,0,146770.3,0
5,156770.5,0,68981.6,0,156770.5,0
6,156243.5,0,63522.35,0,156770.5,0
7,146717.6,0,63671.21,0,156770.5,0
8,161770.7,0,88177.52,0,161770.7,0
9,146717.4,0,68009.2,0,161770.7,0
10,141698.2,0,82704.57,0,161770.7,0
11,146717.5,0,65914.88,0,161770.7,0
12,161770.7,0,73573.59,0,161770.7,0
13,146717.5,0,79270.22,0,161770.7,0
14,146717.5,0,85542.82,0,161770.7,0
15,131294.1,0,74890.02,0,161770.7,0
16,161770.7,0,57068.54,0,161770.7,0
17,146717.5,0,91955.16,0,161770.7,0
18,146717.3,0,86763.77,0,161770.7,0
19,146717.5,0,75946.72,0,161770.7,0
20,156770.9,0,81890.44,0,161770.7,0
21,161770.8,0,68314.77,0,161770.8,0
22,146717.5,0,67216.45,0,161770.8,0
23,151665.3,0,71173.18,0,161770.8,0
24,161770.8,0,76712.07,0,161770.8,0
25,131609.8,0,77076.17,0,161770.8,0
26,146717.5,0,88382.18,0,161770.8,0
27,161770.7,0,79954.56,0,161770.8,0
28,161770.7,0,72384.77,0,161770.8,0
29,146717.5,0,67330.76,0,161770.8,0
30,151686.1,0,80885.47,0,161770.8,0
31,161770.7,0,98262.16,0,161770.8,0
32,161770.7,0,74496.53,0,161770.8,0
33,151717.9,0,88205.95,0,161770.8,0
34,146717.5,0,84937.95,0,161770.8,0
35,171612.3,0,85937.19,0,171612.3,0
36,166559.9,0,70679.59,0,171612.3,0
37,161456.4,0,84167.9,0,171612.3,0
38,146563.4,0,66774.02,0,171612.3,0
39,186611.8,0,70629.7,0,186611.8,0
40,186611.7,0,71433.05,0,186611.8,0
41,146508.7,0,78991.16,0,186611.8,0
42,146508.8,0,56079.01,0,186611.8,0
43,151719.8,0,80048.65,0,186611.8,0
44,186611.8,0,85427.98,0,186611.8,0
45,151667.1,0,66882.59,0,186611.8,0
46,146667.4,0,73623.52,0,186611.8,0
47,186611.8,0,78117.95,0,186611.8,0
48,186611.8,0,74519.8,0,186611.8,0
49,146508.7,0,72332.5,0,186611.8,0
50,156509.9,0,75705.47,0,186611.8,0
51,181612.3,0,82309.32,0,186611.8,0
52,186611.8,0,78555.93,0,186611.8,0
53,146508.7,0,71715.28,0,186611.8,0
54,146508.7,0,73611.27,0,186611.8,0
55,156769.6,0,73698.48,0,186611.8,0
56,181612.1,0,85305.66,0,186611.8,0
57,146508.6,0,79850.06,0,186611.8,0
58,146509.8,0,81719.34,0,186611.8,0
59,156768.8,0,73367.17,0,186611.8,0
60,186611.7,0,69726.47,0,186611.8,0
61,146508.7,0,66779.9,0,186611.8,0
62,156508.8,0,71269.03,0,186611.8,0
63,156506.9,0,83870.26,0,186611.8,0
64,186611.8,0,76642.34,0,186611.8,0
65,146770.4,0,81187.91,0,186611.8,0
66,151404.6,0,92244.18,0,186611.8,0
67,186611.8,0,93599.47,0,186611.8,0
68,186611.8,0,80539.23,0,186611.8,0
