Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
0;27575.68;112243.7;2628.534;106070.8;27575.68;112243.7
1;7742.099;666978.7;1536.361;126657.1;7742.099;666978.7
2;8391.383;302447.5;3440.931;105452.7;8391.383;302447.5
3;27145.04;117404.7;6772.474;23467.21;27145.04;117404.7
4;7540.428;282032.8;-521.017;114549.1;7540.428;282032.8
5;7620.89;1107442;-2428.407;224644.9;7620.89;1107442
6;5645.988;1902455;-5911.191;494265.4;5645.988;1902455
7;6696.719;2012400;-620.1591;406837.1;6696.719;2012400
8;27588.35;487405;239.8509;213964;27588.35;487405
9;24112.95;1802405;-8788.996;630325.4;24112.95;1802405
10;2375.023;2192406;-10968.41;569193.5;2375.023;2192406
11;5622.664;1352406;-15124.29;496261.3;5622.664;1352406
12;23642.27;1222404;-17180.24;606727.7;23642.27;1222404
13;3463.938;762350.5;-13157.83;422011.3;3463.938;762350.5
14;6074.669;1047413;-19566.28;587735.2;6074.669;1047413
15;23829.52;1202406;-2626.527;579205.4;23829.52;1202406
16;23205.53;1056564;-9714.325;476883.2;23205.53;1056564
17;26899.47;1337401;-6086.317;438292.9;26899.47;1337401
18;27065.18;1237402;-13443.15;466990.8;27065.18;1237402
19;2959.911;1652407;-13423.98;318034.8;2959.911;1652407
20;8724.777;1281454;-7963.315;690074.6;8724.777;1281454
21;7077.718;1271611;-10956.11;810913.6;7077.718;1271611
22;5227.486;1947405;-13872.43;909958.9;5227.486;1947405
23;5341.696;4332404;-15126.52;566969.4;5341.696;4332404
24;3790.805;1097139;-15192.18;534852.9;3790.805;1097139
25;3162.198;1232402;-14558.88;768726.3;3162.198;1232402
26;9085.248;1101560;-13078.43;723759.3;9085.248;1101560
27;3312.897;1230087;-8033.538;480619.5;3312.897;1230087
28;4192.401;1997406;-11372.99;590452.8;4192.401;1997406
29;3781.09;1302400;-12952.39;739582.2;3781.09;1302400
30;6495.006;2272405;-5680.392;880704;6495.006;2272405
31;23091.09;3202405;-5572;661501.2;23091.09;3202405
32;23955.73;1191331;-3069.752;584304.2;23955.73;1191331
33;6274.634;1107402;-9147.751;657534.1;6274.634;1107402
34;24514.94;1277401;-6515.03;628814.1;24514.94;1277401
35;27563.53;4747352;-5661.506;969547.1;27563.53;4747352
36;24568.54;3447351;-8673.495;929177.4;24568.54;3447351
37;24015.67;3607351;-8245.454;860678.5;24015.67;3607351
38;25077.95;4272403;-14462.41;1085949;25077.95;4272403
39;24168.32;3837352;-6580.025;672495.4;24168.32;3837352
40;8036.73;4147351;-940.9925;905643.1;8036.73;4147351
41;27951.94;3747404;-1303.896;830580.4;27951.94;3747404
42;27713.95;4037406;-6002.948;1025871;27713.95;4037406
43;26603.58;2232408;-5999.753;642224.6;26603.58;2232408
44;26687.39;1087250;7414.462;188193.9;26687.39;1087250
45;26669.37;877042.6;12120.54;110605.8;26669.37;877042.6
46;26659.21;712466.6;-4101.271;267486;26659.21;712466.6
47;9297.87;867462.3;-10770.4;470787.9;9297.87;867462.3
48;9627.311;947449;-2657.679;354204.5;9627.311;947449
49;28972.61;1146712;-1541.827;384415.1;28972.61;1146712
50;28177.64;1246440;-7723.862;629093.3;28177.64;1246440
51;8481.422;2472401;-16429.18;944136.2;8481.422;2472401
52;3423.714;1572401;-11066.64;628645.5;3423.714;1572401
53;24525.21;1052241;-8096.851;447788;24525.21;1052241
54;27702.03;1241235;1563.278;303712.7;27702.03;1241235
55;24029.5;1241865;-9618.762;803094.8;24029.5;1241865
56;26743.82;1251550;-16576.76;911407.8;26743.82;1251550
57;3221.03;1237394;-6901.988;730883.2;3221.03;1237394
58;24166.44;1202450;-7762.629;768620.8;24166.44;1202450
59;8153.309;1251435;-15218.6;873067.5;8153.309;1251435
60;3477.256;1257119;-18404.66;808719.5;3477.256;1257119
61;26620.89;2667406;-10829.75;876596.8;26620.89;2667406
62;27726.57;1247388;-9062.421;424897.9;27726.57;1247388
63;4165.189;1232127;-11802.88;654604.8;4165.189;1232127
64;5043.383;1252440;-8745.61;695838;5043.383;1252440
65;23450.24;4152406;-9731.069;926407.1;23450.24;4152406
66;28104.46;1282407;-5469.5;726969.8;28104.46;1282407
67;26869.07;2792403;-1718.157;695567.4;26869.07;2792403
68;28321.63;715052.8;4392.914;213481.4;28321.63;715052.8
69;26843.43;2512405;-5695.206;571068.2;26843.43;2512405
70;27087.43;942410.7;-2903.441;225389.8;27087.43;942410.7
71;27035.39;447471.5;403.9972;124083.3;27035.39;447471.5
72;27103.38;777465.4;-8135.844;335177.3;27103.38;777465.4
73;27200.13;1306768;-3215.281;593464.8;27200.13;1306768
74;27047.44;1177452;-8004.79;471640.4;27047.44;1177452
75;6455.27;1232458;-14792.59;523864.2;6455.27;1232458
76;2501.399;692452.7;-8754.607;407644.4;2501.399;692452.7
77;23449.04;787454.3;-10080.03;360820.8;23449.04;787454.3
78;27525.7;491363.3;-11879.18;180486.6;27525.7;491363.3
79;27832.07;742473.3;-7508.819;238788.2;27832.07;742473.3
80;27100.14;1442453;-244.5656;265931.6;27100.14;1442453
81;6431.299;1367450;-7446.755;336177.8;6431.299;1367450
82;6003.972;1712450;-16047.24;361918.5;6003.972;1712450
83;27184.54;1837452;-17235.76;409260.6;27184.54;1837452
84;7016.25;1837450;-5345.38;318863.1;7016.25;1837450
85;8106.477;202318.1;978.7046;128705.1;8106.477;202318.1
86;9207.145;672414.1;369.8277;209368.3;9207.145;672414.1
87;28067.27;977409.3;-2090.465;539762.2;28067.27;977409.3
88;24241.11;3342239;-3911.09;805537.2;24241.11;3342239
89;27007.87;2492187;-1212.192;449347.7;27007.87;2492187
90;26605.32;1067408;-10785.86;440121.6;26605.32;1067408
91;24300.49;1112407;-3559.367;818192.5;24300.49;1112407
92;24182.83;1172190;-15814.21;824176.8;24182.83;1172190
93;20975.64;1707355;-11149.95;897414.1;20975.64;1707355
94;8441.197;1107198;-9893.65;471448.4;8441.197;1107198
95;21236.21;1207399;-7605.223;705033.5;21236.21;1207399
96;24088.52;1212400;-13739.16;928896.4;24088.52;1212400
97;3810.113;1122409;-9502.496;807822.3;3810.113;1122409
98;28598.93;1202294;-4121.811;844790.8;28598.93;1202294
99;7304.133;1247401;-12868.89;798680.6;7304.133;1247401
100;5943.129;2387402;-7873.712;725196.6;5943.129;2387402
101;28518.42;1202399;1076.249;322238.1;28518.42;1202399
102;4196.471;1177138;-14370.95;560415.8;4196.471;1177138
103;26854.87;2897404;-11526.28;857650.3;26854.87;2897404
104;28009.03;1187400;-7133.932;523499.3;28009.03;1187400
105;27992.2;1122408;882.1053;662084.2;27992.2;1122408
106;3924.545;1202398;-8820.117;823834.8;3924.545;1202398
107;4406.538;3927352;-12178.77;1027685;4406.538;3927352
108;8869.715;1477352;-17047.72;767074.8;8869.715;1477352
109;27500.81;1100138;-10295.86;727372.1;27500.81;1100138
110;3583.014;3427400;-15034.33;919048.9;3583.014;3427400
111;23876.67;2497407;-2230.62;616344.4;23876.67;2497407
112;24223.14;992407.6;-4816.998;557660.9;24223.14;992407.6
113;7570.149;2407407;-13640.93;763795.7;7570.149;2407407
114;8867.945;3492407;-12287.78;812219.7;8867.945;3492407
115;3077.042;3417407;-6507.946;617529.1;3077.042;3417407
116;3303.716;4172407;-10379.91;1373083;3303.716;4172407
117;23861.3;907428.8;-5241.593;393500.9;23861.3;907428.8
118;7641.983;4747408;-4704.623;900904.8;7641.983;4747408
119;4323.128;4397406;-13190.48;844913.1;4323.128;4397406
120;27073.64;2867411;-7947.128;576845.1;27073.64;2867411
121;6855.555;3477407;-14946.82;1055595;6855.555;3477407
122;8409.095;2377407;-14476.75;690957.8;8409.095;2377407
123;7617.058;3472406;-15632.63;841687.4;7617.058;3472406
124;27370.56;2896971;-14159.76;551965.6;27370.56;2896971
125;26655.92;2042407;-7115.691;340880.9;26655.92;2042407
126;27911.14;1017445;-8954.638;432729.2;27911.14;1017445
127;26880.05;977412.4;-14015.58;579578.6;26880.05;977412.4
128;7599.686;982412.3;-14563.62;614137.1;7599.686;982412.3
129;8242.111;1101670;-15014.22;617347.6;8242.111;1101670
130;24032.37;1081668;-5303.843;540805.2;24032.37;1081668
131;1690.846;1141723;-16374.65;775170.3;1690.846;1141723
132;24257.85;1091880;-10739.91;642362.4;24257.85;1091880
133;2201.997;1081773;-15212.73;479833.6;2201.997;1081773
134;24072.46;1607463;-6640.285;609337.1;24072.46;1607463
135;7289.755;977412.3;-6385.222;396810.1;7289.755;977412.3
136;22375.14;1177406;-7990.253;555076.9;22375.14;1177406
137;2258.216;1130196;-10286.41;531571.2;2258.216;1130196
138;4548.187;1266406;-3534.734;721342.3;4548.187;1266406
139;6236.444;897407.9;-15997.86;645703.9;6236.444;897407.9
140;26675.34;1181774;-13286.6;624428;26675.34;1181774
141;28420.38;1246723;-12173.88;601718.1;28420.38;1246723
142;27416.31;997412.3;1648.895;733854;27416.31;997412.3
143;6999.51;1337407;-20905.23;534649.8;6999.51;1337407
144;23314.03;1261247;-13114.96;793818.4;23314.03;1261247
145;23754.7;1597405;-12816.08;519344;23754.7;1597405
146;23819.28;3257466;-7126.52;536646.8;23819.28;3257466
147;27799.21;1141617;-5351.347;339660.2;27799.21;1141617
148;24279.19;1287405;-8777.399;459857.6;24279.19;1287405
149;2608.416;767407.8;-11066.05;379973.3;2608.416;767407.8
150;23368.87;992411.7;-11435.44;489519.5;23368.87;992411.7
151;28325.81;1176353;-2432.766;515338.4;28325.81;1176353
152;2618.523;1282405;-9714.481;484430.8;2618.523;1282405
153;24273.22;1135249;-7708.792;506544.5;24273.22;1135249
154;29158.03;1002412;-5438.836;555753.8;29158.03;1002412
155;27105.98;1251565;-3487.836;620343.3;27105.98;1251565
156;4704.991;2557456;-13081.28;532442.1;4704.991;2557456
157;7738.474;3762454;-2795.343;426297.2;7738.474;3762454
158;27584.06;4797405;2486.017;469364.8;27584.06;4797405
159;28103.24;2572458;-5111.437;378063.4;28103.24;2572458
160;23873.31;672413.8;-1351.723;251158.7;23873.31;672413.8
161;2748.005;822454.6;-18009.66;454032.8;2748.005;822454.6
162;23710.83;777460.3;-10987.71;447804.8;23710.83;777460.3
163;3476.718;642570.8;-11837.13;387719.8;3476.718;642570.8
164;28997.2;712414.4;-1969.623;386444.3;28997.2;712414.4
165;6866.934;807049.1;-12297.7;511512.5;6866.934;807049.1
166;6963.469;1110983;-11121.86;479810.3;6963.469;1110983
167;2359.929;1126722;-12532.22;436636.1;2359.929;1126722
168;26461.26;986773.8;-7721.783;382155.8;26461.26;986773.8
169;23947.37;777406.9;-8815.746;390363.9;23947.37;777406.9
170;28064.39;817413.4;-16493.74;386867.1;28064.39;817413.4
171;23791.97;947411.1;-11251.63;418028.3;23791.97;947411.1
172;23890.92;4192404;-14416.5;588895.6;23890.92;4192404
173;26759;932225.6;-9882.464;382779;26759;932225.6
174;27775.32;916084.5;-12379.98;362967.3;27775.32;916084.5
175;6706.162;827517;-14197.92;346570.7;6706.162;827517
176;2491.888;1142417;-11812.53;435801.1;2491.888;1142417
177;23857;1076471;-14107.58;479910.5;23857;1076471
178;3421.125;1052457;-16339.36;431777.1;3421.125;1052457
179;5144.459;2927408;-16943.26;588852.9;5144.459;2927408
180;23980.09;911826.2;-14456.91;354814.2;23980.09;911826.2
181;6656.401;1587408;-10350.21;463647.8;6656.401;1587408
